,Headlines,label
539,US air carrier Spirit Airlines announces $45 carry-on baggage fee,-1
13510,Transcript of bin Laden message released by ABC,-1
14401,Tony Dungy Steps Away From Coaching,-1
9283,Samsung to sell dual-standard DVD player,-1
8500,Collingwood win 2010 AFL Grand Final replay,-1
12668,William Morris and Endeavor to Become One Talent Agency,-1
4601,Asia Gives Metro Haven From Economic Storm,-1
13200,Rwandan businessmen sentenced for War Crimes,-1
8942,Commuter chaos in Sydney after wind damages lines on Harbour Bridge,-1
11815,AFL provides insufficient support for European leagues: Germany,-1
14906,One killed and nine injured in militant attack in Jammu and Kashmir,-1
14789,Braidwood Inquiry finds Dziekanski tasering in British Columbia unjustified,-1
11090,Same-sex marriage allowed in Portugal,-1
12791,Pakistani Paramilitary Force Tries to Stem Advance of the Taliban,-1
8658,Scottish Premier League: Kilmarnock defeat Hibernian 2 - 1,-1
12088,"Brampton, Canada and Marikina, Philippines seeing double as cities twin",-1
9897,"From Air and Ground, Pakistan Strikes Back at Taliban",-1
15568,"Schedule, Day by Day",-1
7070,"Homeownership Losses Are Greatest Among Minorities, Report Finds",-1
7235,Israeli military confirms the use of white phosphorus bombs in the Gaza Strip,-1
10992,NOAA says Earth's oceans becoming more acidic,-1
14574,The WB and UPN networks to become the CW network,-1
11226,Turkey Restates Determination to Join the European Union,-1
9034,Surviving Tuskegee Airmen Salute Another Trailblazer,-1
2946,"To Protect an Ancient City, China Moves to Raze It",-1
9714,"Longhorn for 2006, according to Gates",-1
7226,U.S. Needs to Play Cards Right in India,-1
9881,"Website of Bill O'Reilly, FOX News commentator, hacked in retribution",-1
5024,Bomb explodes on busy Beirut street,-1
1994,"Markets down across the world; Dow Jones falls below 9,000",-1
1326,"An Ice Rink Without Real Ice: A Little Slower, but Fun in the Sun",-1
13343,Skateboarding in Afghanistan Provides a Diversion From Desolation,-1
1183,Britain to Investigate Role in Iraq,-1
6888,Tennis: Andy Murray wins Montreal Masters 2009,-1
3058,Southwest Airlines Posts a Fourth-Quarter Loss,-1
6742,UK Independence Party gains first MP,-1
9899,"Rangers Pick Up Where They Left Off, With a Victory",-1
13891,Saginaw Spirit victorious in first home shootout,-1
5987,Revenue Drops as Sprint Nextel Loses Subscribers,-1
4139,Jump in Food Costs Drives Up Price Index,-1
8881,Mets Bullpen Continues Its Hard Work,-1
3094,Rescue underway for teen solo sailor,-1
14397,Israeli General Refused NZ Visa,-1
12721,Palestinians Serenade Survivors in Israel,-1
11907,Up to 31 women sue UK police force over rapist officer,-1
1682,7 Die in Bus Crash Near Hoover Dam,-1
11546,"US stocks surge, Dow Jones index reaches record",-1
14260,Russian markets to remain closed until Friday,-1
5680,A Last Final Offers Strange Twists,-1
8542,"Knife-wielding woman arrested after allegedly stabbing four at store in West Hollywood, California",-1
14737,Australian man arrested after dragging dead possum behind car,-1
2001,Microsoft Ordered to Delete Browser,-1
13739,Cost Overruns at Finland Reactor Hold  Lessons,-1
14110,Marine scientist says Australia's blobfish faces extinction,-1
14193,"With the Economy Stalled, Could Oil Go Lower?",-1
11939,McKesson Buys Drugstore Brand,-1
11648,Obama apologizes for Special Olympics comment on The Tonight Show,-1
4150,Audio Analysis: Getting a Jump on Gun Violence,-1
5175,International arms dealer Viktor Bout arrested in Thailand,-1
13233,Former I.M.F. Chief Sees Opportunity in Crisis,-1
9633,Bomb scare aboard plane caused by harmless prayer box,-1
7712,"Abbas orders more security reforms, hundreds of security officers to be forced to retire",-1
10554,9 Alumni of Saudi Program for Ex-Jihadists Are Arrested,-1
5900,Tensions Grow in Georgia Over Accusations of a Plot,-1
10314,"Equatorial Guinea coup plotters pardoned, released from jail",-1
359,Taliban Truce Seems in Flux in Pakistan,-1
1841,"Live 8 concerts around the world to ""End Poverty Now""",-1
1979,Protesters Defy Iranian Efforts to Cloak Unrest,-1
6235,Suspicions of nepotism arise from pulping of new Australian industrial relations information booklets,-1
6574,Mozilla Foundation prepares third Firefox security update,-1
6560,Virgin Atlantic jet fire investigation finds faulty wiring in A340 fleet,-1
12689,Report finds FBI missed multiple chances to stop 9/11,-1
10065,Priests jailed for $8.6 million theft,-1
15418,Riesch Wins Slalom; Injured Vonn Falls at Worlds,-1
4875,'Great' title for John Paul?,-1
499,Kenyan court jails seven pirates for 2009 attempted hijack of Maltese ship,-1
7199,46 Die in Taliban Attack on Pakistani Troops,-1
4517,Los Angeles wildfires are nearly contained,-1
3132,Brazil ceases hunt for bodies from Air France crash,-1
11842,Canadian foreign affairs minister resigns amid controversy,-1
15804,GigaPan Automates the Panoramic Picture,-1
14565,"Time magazine's 2006 Person of the Year is ""you""",-1
13087,"G20 agrees to avoid currency war, also agrees to reduce trade imbalances",-1
13781,Plane crashes into Toronto office building,-1
12260,Full video of Tigger incident reveals different story,-1
4431,4 U.S. Soldiers Killed in Afghanistan,-1
4366,How to Make Smart Gifts to Charities in Tough Financial Times,-1
1916,"Chinese girl who was hit and run by two drivers, ignored by eighteen people, dies",-1
11349,National Aromanian Day celebrated,-1
13831,Singer Amy Winehouse dies at age 27,-1
3472,Former judge calls for Cherie Blair's resignation,-1
4026,Ghana's first female Chief Justice receives award,-1
10084,English footballer Beckham visits British troops in Afghanistan,-1
13718,Basque separatist group ETA declares ceasefire,-1
4302,Michigan Is Latest to End Apparel Deal With Russell,-1
11568,Halifax bank: UK house prices rose 0.6% during July,-1
10387,Campbell Soup Sales Fall as Stores Cut Inventory,-1
6766,No Joy in Cricketville; Mighty Texan Struck Out,-1
1045,Silent film actress Anita Page dies at age 98,-1
12767,Netanyahu Gains in Bid to Be Israeli Premier,-1
10367,Same-Sex Ruling Belies the Staid Image of Iowa,-1
12166,Financial Journalists Fumble to Cover a Lasting Slump,-1
15869,Viewed wins the 2008 Melbourne Cup,-1
4556,U.S. Envoy Reaches Out to Iran in Afghan Visit,-1
7161,Frog-killing fungus spreads across Panama Canal towards South America,-1
5159,"After Three Straight Titles, Jimmie Johnson Is Still Not Favored",-1
12063,Lapp Plats becomes first firm to float on IEX,-1
15166,A Marketer Travels Globally and Snacks Locally,-1
11351,"Eurovision '73 winner Anne Marie David discusses her four-decade career and the Contest, past and present",-1
6624,US crew retakes ship hijacked by pirates; captain held hostage,-1
7650,New Course for Antidrug Efforts in Afghanistan,-1
14630,Family Businesses Are Reeling in Recession,-1
4603,Zimbabwe Opposition Figure Is Freed on Bail After Delays,-1
15697,Fishermen find body of child killed by Chile tsunami in Pichilemu,-1
1248,New Challengers Aim for Federer at Wimbledon,-1
10321,New Zealand town subject to window smashers,-1
14063,Number of Homeowners  Facing Foreclosure Rises,-1
11232,USL football: Djekanovic to Whitecaps; O'Brien to Earthquakes,-1
7053,A.C.L.U. Report Says Antiterror Fight Undercuts Liberty of Muslim Donors,-1
6189,European Union Lifts Ban on Indonesian Airlines,-1
13614,Looking to Buy Gold? Grab Quarters for the Vending Machine,-1
535,Israeli shelling on UN school on the Gaza Strip kills six,-1
7785,French President Jacques Chirac hospitalized,-1
2699,Bed Bugs Are Traveling (Not Just on Your Body),-1
4520,Suicide bomber kills at least eight in eastern Afghanistan,-1
2304,Space Shuttle Atlantis landing concludes program,-1
12122,C.I.A. Had Plan to Assassinate Qaeda Leaders,-1
6452,Pakistani Prime Minister agrees to put all state executions on hold,-1
14842,NZ Government passes bill to legalise controversial electioneering overspending,-1
14184,Michael Morales execution postponed indefinitely,-1
9369,California's SB 1 Bill Originators' and Supporters Turn Against Bill,-1
8966,Landless Workers Movement marches to Brasilia in protest,-1
13559,TSA cuts US airport security screening personnel,-1
2298,Taliban Seize Vital Pakistan Area Closer to the Capital,-1
13390,Banned Substances Found on Materials Linked to Clemens,-1
1448,Fifteen flu sufferers die in Wales in one week,-1
3236,New 'Mighty Mouse' from Apple debuts,-1
5996,Music promoter Mean Fiddler sold for almost £38m,-1
11533,"Man is waiting for 139 days in front of theater for ""Star Wars"" movie",-1
20,France Approves Crackdown on Internet Piracy,-1
1323,7 Blasts Around Baghdad Kill at Least 24,-1
12308,Russian reverse engineers Skype; uploads source to public,-1
8571,May Ends With a Winning Streak Intact,-1
7598,Qantas Reduces Commitment to New Boeing Plane,-1
7243,"Mark Martin, 50, Wins Wreck-Filled Southern 500",-1
7368,Over 700 killed after earthquake in Indonesia,-1
2167,"Proctor, a Recovering Alcoholic, Wonders About a Second Chance With the Yankees",-1
15401,Little League Puts a Special Focus on Urban Programs,-1
3524,Republic of Molossia announces new customs station,-1
3068,Adventurer Steve Fossett missing,-1
10607,Obama to Muslims: 'Americans are not your enemy',-1
3397,Lula's future in the hands of Brazilian Parliament,-1
1472,Corporate Jets Sitting Out the Super Bowl,-1
1210,"On Field, Ice or Court, Brothers Were Not Equals",-1
9210,Conference Finals Pit Older Against Younger,-1
15641,U.S. jobs picture not improving,-1
10953,Revenge killings follow shooting of Karachi politician,-1
12031,Off to Practice Before a Round of Golf? Think Again,-1
11249,"Tired of Looking for Work, Some Create Their Own",-1
8337,Bomb blast in Iran injures three civilians,-1
12842,"After Chamberlain Is Struck, Yankees Pound the Orioles",-1
2552,US Congress may re-establish the Luxury Tax,-1
872,Words of Support for Alex Rodriguez as the Yankees Settle In,-1
10412,Tornado kills 19 in Florida,-1
8284,Anti-Mubarak protesters in Cairo beaten by the police,-1
2099,Zimbabwe opposition agrees to join government,-1
6985,NFL star Michael Vick indicted for running dog fighting operation,-1
15845,Taking the Wheel as Toyota Skids,-1
13155,Barclays Says It Will Not Seek Bailout,-1
15793,Palestinians Stop Paying Israeli Hospitals for Gaza and West Bank Patients,-1
6904,Apple unveils iPod nano,-1
7345,Google introduces Google Buzz,-1
4068,"Man attacks people, kills 7 in Akihabara, Tokyo",-1
15142,A New Role for Iraqi Militants: Patrons of the Arts,-1
2061,Haiti relief efforts: in depth,-1
7720,Beltran Plays His Odds on the Basepaths,-1
7930,Quakes push Canary Islands up eleven centimetres,-1
8113,"U.S. President Barack Obama calls North Korea a ""grave threat""",-1
6644,"Former U.S. President Gerald Ford dies, aged 93",-1
9813,Exxon to Invest Millions to Make Fuel From Algae,-1
3281,"Central Michigan quarterback sets passing record, becomes finalist for award",-1
7770,Bush crashes his bike into Scottish police officer,-1
2706,Tour de France: Robbie Hunter wins stage 11,-1
5981,Tropical Storm Danny to threaten the U.S. East Coast this weekend,-1
7530,"Nearly 25,000 Iraqi civilians killed in Iraq, watchdog group claims",-1
11624,Balancing Freedom and the Role of the State in Germany,-1
1863,Government of the Bahamas isssues warning over Hurricane Hanna,-1
10892,Wikinews interviews Gary Fung from isoHunt,-1
6958,"UConn Nears Perfection, but Has Room to Improve",-1
6576,Man becomes first to swim at North Pole,-1
807,Thousands protest PM Harper in Toronto,-1
4780,2009–10 UEFA Champions League: Round of 16 field set,-1
7251,Frank Hsieh named new Taiwanese premier,-1
4149,Airlines plan reroutes around Syria as potential for US military intervention increases,-1
3595,US stocks see 9% drop before making recovery,-1
14828,"Explosions hit waterfront in New Orleans, Louisiana",-1
4879,California Led U.S. in Job Losses in April,-1
2242,Wikinews interviews US National Archives Wikipedian in Residence,-1
1228,Wikinews interviews the Socialist Alliance about the upcoming Queensland State election,-1
15669,G8 members release statement on Zimbabwe,-1
268,Fiat Nearing a Deal for Chrysler Stake,-1
9429,"Accounts, People & Miscellany",-1
14729,Dominique de Villepin to replace resigning French PM,-1
15683,Chrysler and Union Agree to Deal Before Federal Deadline,-1
9744,US Supreme Court dismisses appeal on Obama's citizenship,-1
12382,ASEAN basketball league moves closer to reality,-1
14918,Helicopter crash in Turkey kills six,-1
9138,North Korea Warns of Rocket Launch Soon,-1
3223,Egyptian prime minister steps down; armed forces appoint former transport minister to position,-1
6736,U.S. Chess Federation Lawsuit Becomes Criminal Issue,-1
14693,French unions march in support of public services,-1
2315,Death toll from Brazil mudslides rises to sixty,-1
4630,Jupiter at its brightest in 47 years,-1
11940,"Rain, Mud, Big Umbrellas on Day 1 of the U.S. Open",-1
4405,Roku Can Now Get Access to a Larger Film Library,-1
9984,New Zealand political party asks for names of schools under NZQA investigation,-1
15373,"Stressing Long-Term Focus, Blackstone Bounces Back",-1
14048,Young Quakers disappointed by UK visa denials,-1
15336,British Boxers Fight for the Spotlight,-1
4895,Obama Set for First Step on Immigration Reform,-1
1513,New Jersey to consider bikini waxing ban,-1
9066,Stimulus Ideals Conflict on the Texas Prairie,-1
11364,Ireland will hold EU referendum,-1
6075,Philippine exports plunge to eight-year low,-1
3431,Lakers Succeed Without Excelling,-1
11619,Judge Allows Madoff to Remain Free on Bail,-1
2459,"Shared history textbook written by scholars from Japan, China, South Korea",-1
6572,Spain Steps Into Battle With Itself on Abortion,-1
8306,Two unconscious drug-overdosed men discovered outside University of Canberra residence hall,-1
12130,Army Ends Delay on Lightweight Armor,-1
6673,Whooping cough outbreak kills ten infants in California,-1
4451,"Wikinews interviews Donald K. Allen, independent candidate in US presidential elections",-1
333,"One dead after motorcycle and car collision in Guernsey, Channel Islands",-1
681,Canadian military accused of Agent Orange cover up,-1
11342,Part of California highway near Big Sur falls into the sea,-1
12221,Wrestling With Ghosts of Colonialism,-1
994,Death of Nancy Benoit rumour posted on Wikipedia hours prior to body being found,-1
4637,Hillary Clinton nominated as US Secretary of State,-1
752,Hundreds of Thousands Protest in France,-1
9689,Assassinated Sunni Leader Given State Funeral in Iraq,-1
6423,Roethlisberger to Be Among Amateurs at U.S. Open Challenge,-1
10519,Exit Festival 05 begins tomorrow,-1
4658,Five dead in Calgary murder-suicide,-1
9038,FBI begins widespread financial probe of 26 firms,-1
3295,Rape and murder suspects in Ciudad Juárez arrested,-1
13961,Violence erupts in Guadeloupe after labor dispute,-1
198,Haitian Supreme Court rules Simeus eligible,-1
15997,"British Liberal Democrat Patsy Calton, 56, dies of cancer",-1
2779,California Supreme Court strikes down ban on gay marriage,-1
3316,"Add Nuts to Your Diet With Sauces, Not Snacks",-1
13084,"No Union for FedEx Home Drivers, Court Rules",-1
4039,"UCLA defeats USC, ends Trojans' BCS title hopes",-1
5933,David Lee and Danilo Gallinari Buoy the Knicks,-1
9994,Interim Leader and Novice to Face Off in Detroit Race,-1
11122,Freddie Mac Posts Loss of $23.9 Billion,-1
15678,"American ""Chicken for sex"" meat salesman is charged with assault",-1
91,UN official: DR Congo is ‘rape capital of the world’,-1
1890,Wikinews interviews novelist James Bruno,-1
12912,McDonald Named Chief Executive at Procter & Gamble,-1
12939,11th-Seeded Lady Bulldogs Advance to Second Round,-1
15810,Italian petrol prices rocket to a record EUR 1.30 per litre,-1
8878,Suspected US missile strike kills eight Taliban fighters,-1
1170,A Journey From Ebbets Field to the Steps of the Capitol,-1
12518,"Stricker Leaves Opening, and Clark Slips Into Lead at Colonial",-1
13636,I.R.S. Suspicions Grow on Secret Swiss Accounts,-1
1299,Investigators Say Plane Fell Flat on House Below,-1
4898,Fiji's President abrogates constitution,-1
13670,Scandal Topples Chief of Deutsche Bahn,-1
8454,Chef who appeared on Gordon Ramsay's 'Kitchen Nightmares' commits suicide,-1
4227,Higher Oil Prices Help Widen U.S. Trade Deficit,-1
6773,"In Loneliness, Immigrants Tend the Flock",-1
15606,Prodi wins vote of confidence,-1
9501,Rhode Island borrows $90 million from US for jobless claims,-1
9686,Lockdown at Missouri university lifted as police apprehend suspected gunman,-1
5546,Italy Seizes Millions in Assets of Four Banks,-1
4899,Swaziland to receive financial bailout from South Africa,-1
14909,Specter Faces Conservative Challenge,-1
1889,Lawmakers Call for Change in Paying Bonuses,-1
10531,"Trains collide in Serbia, two dead",-1
5500,Wal-Mart accused of workers rights violations,-1
7375,"Still Working, but Making Do With Less",-1
2311,Pope addresses UN in NY as US visit continues,-1
2263,Procedure to Bypass G.O.P. on Health Care Carries Risks for Democrats,-1
9884,Italian mafia implicated in radioactive waste dumping,-1
8884,"World's largest package delivery service to cut 1,800 jobs",-1
15857,Reports: Parents of missing girl Madeleine McCann are suspects in her disappearance,-1
10429,Europeans Debate Castration of Sex Offenders,-1
4245,Habertürk media sparks outrage over woman’s murder photo in Turkey,-1
11270,"For Mets and Yankees, New Parks Are Home to Plenty of Quirks, Too",-1
13377,Ugandan president distances himself from anti-gay bill,-1
3714,Preliminary report released on Spanair disaster that killed 154,-1
13709,'Gouge' found on wing of Space Shuttle Endeavour,-1
10550,Taliban launches series of attacks against Afghanistan capital,-1
14914,Michelin's tyre mistake sends US Formula One Grand Prix into farce,-1
1769,Bethpage Prep Players Could Give Pros a Hint or Two,-1
32,Gates Issues Warning to North Korea,-1
4122,Mayor of Oslo resigns after tax fraud scandal,-1
12696,Geithner Faces Test at Group of 7 Meeting,-1
15078,Moscow detains anti-Kremlin protesters,-1
11038,Gay Iranian awaits decision on asylum,-1
6020,San Francisco anti-G8 rally turns violent,-1
655,"1,100 evacuated due to massive Halifax brush fire",-1
14213,"Five prostitutes found dead in U.K. brings fears of ""Ipswich Ripper""",-1
4677,"On This Day, Players Rule the L.P.G.A.",-1
2284,Afghan presidential candidate Karzai wins majority of votes,-1
5362,UN warns of humanitarian crisis in Gaza,-1
3931,Successor to mp3; MusicDNA founder interviewed,-1
7526,"Car bomb in Beirut kills 6, including top police investigator",-1
552,US congresswoman Gabrielle Giffords shot at Arizona supermarket,-1
141,Final launch of Space Shuttle Discovery delayed another day,-1
3589,Cleric Who Led Militants in Pakistan Is Released,-1
3117,New Jersey backpedals on proposed bikini waxing ban,-1
490,"Biological Encyclopedia website too popular on first day, crashes",-1
120,Scientists debate whether Hurricane Katrina was aggravated by global warming,-1
1138,Heavy turbulence during WestJet flight injures nine people,-1
2514,Judge continues injunction against 'Expelled' film,-1
10215,"Golf Headwear: A Touch of Style, Even if You Have No Touch",-1
6679,Fatal US Army helicopter collision in Iraq blamed on enemy fire,-1
11872,"Morgan Stanley Said to Dismiss Stu Hendel, Brokerage Executive",-1
8507,Romanian government approves new minorities law,-1
2049,"For the New Administration, No Delay in Feather Ruffling",-1
6918,Two deaths unreported in Natrecor study,-1
9410,European Panel Seeks Closer Supervision of Banks,-1
722,Bomb threat delayed an Air France flight to Paris days before Flight 447 crashed,-1
5409,New Zealand dollar hits new high versus the United States dollar,-1
10535,Title IX Ruling Involving U.C. Davis Could Lead to Stricter Standards,-1
10964,"Leitzinger, Forbes-Robinson win the Brumos Porsche 250 at Daytona",-1
7146,BrasilTelecom blocks YouTube,-1
7593,Egyptian Tycoon Sentenced to Death for Murder,-1
6014,NYPD shuts down anti-war speech due to absence of permit,-1
2253,Russia Ends Operations in Chechnya,-1
13322,IMF and EU approve aid for Georgia,-1
14136,Japanese H-IIA rocket launches satellite into orbit,-1
7787,Romanian fighter jet hit by UFOs,-1
14479,Pakistan's Musharraf announces resignation,-1
14094,"Subtly, Zone Defense Helps Open N.B.A. Game",-1
2887,Kenya government reform record to be reviewed by AU experts,-1
15823,"Australian government to review censorship of ""hate material""",-1
5751,"An Elaborate Arch, an Opaque Significance",-1
10792,Large earthquake hits central China,-1
15041,Airplane crashes at Schiphol Airport; 9 killed,-1
7095,Irish bishop resigns over child abuse scandal,-1
2918,3 Red Cross Workers Abducted in Philippines,-1
7242,Judge threatened Michael Jackson with jail,-1
2560,Strike Reportedly Missed Chief of Pakistani Taliban by Hours,-1
9320,Lebanon elects army chief as new president,-1
6243,UK bank gets emergency support,-1
5135,Azerbaijan win 2011 Eurovision Song Contest,-1
960,Pakistanis Rejoice Over Restoration of Justice,-1
143,"From a Beijing Suburb, Vibrant Strings",-1
1853,Slipknot bassist Paul Gray found dead in hotel room at age 38,-1
10763,Cassini spacecraft captures large storm on Saturn,-1
6945,"From the Open Road, Back to the Cart Path",-1
10707,Officials: Two soldiers and over 30 insurgents killed in Pakistan,-1
2040,Tens of thousands protest in London before Copenhagen climate change summit,-1
5986,Pakistani President met with protest on fifth day of UK tour,-1
2635,Arrests made in Australia after 'anti-terror' raids,-1
13698,New Zealand policeman caught speeding discharged,-1
15136,Twelve people dead after blast in north-west Pakistan,-1
8526,Coroner says Michael Jackson's death was due to sedative overdose,-1
5043,Tropical Storm Dolly kills seventeen in Guatemala,-1
14643,Pioneer chemist Albert Hofmann dies at age 102,-1
12356,Yahoo!7 creates joint venture with Xtra,-1
6375,Huge Gay Pride parade held in Brazil,-1
5022,"India's Agni-III test termed a ""partial success"".",-1
1100,South Korea and US hold joint exercises; North does not retaliate,-1
1436,Idaho senator arrested for disorderly conduct,-1
400,Croatian singer beaten in Belgrade,-1
1233,"Desperate Children Flee Zimbabwe, for Lives Just as Desolate",-1
3490,New Foundation Takes Aim at Urgent Threats,-1
10451,Nelson Mandela lies in state as South Africa mourns,-1
3579,Major earthquake strikes Peru followed by multiple large aftershocks,-1
15458,A 1-2 Finish for Brawn in Australian Prix,-1
8039,Twenty-five children injured in bus-truck collision in Florida,-1
8424,"Schiphol airliner crash blamed on altimeter failure, pilot error",-1
312,Tour de France: Alexander Vinokourov fails blood test,-1
14550,Chicago White Sox win 2005 American League baseball pennant,-1
6429,Four die in Papua New Guinea plane crash,-1
9150,A New Brew: Sarko Black Label,-1
9379,Republicans seek to reduce ethics rules,-1
15770,2008 Tour de Taiwan Stage 7: Kam-po Wong places first for the second time,-1
5513,Afghan Member of Parliament escapes assasination attempt,-1
10487,Illinois Fair Map Amendment could die before appearing on ballot,-1
2529,"Doughnut on display in Springfield, New Zealand",-1
4508,Portuguese writer José Saramago dies at 87,-1
13593,"After a Pause, Wall Street Pay Bounces Back",-1
9012,Japan nuclear disaster: areas to remain off-limits for decades,-1
5223,"Two people killed in aircraft crash in Hampshire, England",-1
5723,"Knicks Rout Grizzles, Extending Win Streak to Three Games",-1
8014,"Yamaguchi Is Off the Ice, and at Home",-1
7544,New Zealand political party destroys leaked emails,-1
11590,The Deadliest Fall,-1
10464,Drought stricken Somalia nears famine,-1
7847,Large scale gene transfer between single-celled and multicellular organisms reported,-1
1911,Bank Asks Offshore Clients to Sign Tax Forms,-1
5139,"Paul McCartney to be ""beamed up"" in first live concert to be broadcast in space",-1
4030,Poland issues EU warrant for Swede suspected of stealing Auschwitz sign,-1
14756,Russian Firm  Buys a Stake in Facebook,-1
4783,Northern Japan hit by strong quake,-1
14978,Alitalia Sells a Stake as It Makes Its Return,-1
1074,5 killed in return bus trip from marching band competition,-1
5804,Media Maelstrom Awaits Alex Rodriguez in Florida,-1
13061,Mubarak arrested in Egypt ahead of corruption probe,-1
7612,"U.S. Marshals Improperly Helped Fox Announcers, Report Finds",-1
14963,"Mia Farrow, Carole White testify in Charles Taylor's war crimes trial",-1
6123,Unruly Fans at Football Games Are No Longer Just Faces in the Crowd,-1
10789,Kentucky Star Forges Identity With Every Point,-1
9880,Four Russian stores hit with gas attacks,-1
9615,Francoeur Gives Struggling Mets a Jolt of Optimism,-1
15963,Obama cabinet nominees withdraw over tax issues,-1
15682,"Shooting at school leaves one dead in Tennessee, United States",-1
3346,Scientists develop 'Smart Bomb' treatment that targets cancer cells,-1
9182,Perseverance Is Paying Off for a Test of Relativity in Space,-1
1368,Abramoff begins prison sentence,-1
14016,Nuclear arms agreement reached with North Korea,-1
4262,Miss Georgia relinquishes crown after 12 hours,-1
2996,Warsaw court requests testimony from Thatcher and Gorbachev,-1
2064,U.S. poll numbers sink on Iraq,-1
9944,"Second dust storm hits Sydney, Australia",-1
9961,Venezuela bans Coke Zero over unspecified health problems,-1
5327,Rebels launch assault in Ramadi,-1
5101,Libricide plans on ice at University of Oslo,-1
3234,"Bernard Lagat Wins Mile at Millrose, Tying Record",-1
12591,U.S. Finding Its Voice in Africa Again,-1
6672,Nuclear sites close as more UK workers walkout,-1
13843,U.S. Commander in Afghanistan Is Given More Leeway,-1
2502,Winners of 2006 New Zealand Music Awards announced,-1
12581,India announces Lok Sabha elections for 2009,-1
15175,DR Congo transport minister sacked after numerous boat accidents,-1
12316,TEST PAGE:Self-publish today,-1
13706,Blown for Good author discusses life inside international headquarters of Scientology,-1
8982,"Golf Rage Results in Violent Confrontations, Often on Public Courses",-1
15987,Scotland's Dario Franchitti wins Indianapolis 500,-1
1972,Sudan Airways grounded,-1
8672,Australian rules football: Victorian Football League to be broadcast live around Australia in HD,-1
9595,US official warns of Hezbollah missile threat,-1
15656,Quaker website editor launches music podcast programme,-1
15795,"Murray Wins on Grass, Taking One Small Step for Britain",-1
1317,Bernanke Again Rejects Bank Nationalization,-1
3106,Report: Annan failed to fix Oil for Food program,-1
15928,Emaar Properties claims Burj Dubai as world's tallest building,-1
6400,Deposed Kyrgyz President flees to Kazakhstan,-1
14290,China-EU financial relations are growing,-1
13798,Plan to Change Student Lending Sets Up a Fight,-1
2481,MTV debuts 'Logo' cable channel targeting gay market,-1
10765,Saudi Arabia arrests over 100 people suspected of having links to al-Qaeda,-1
11720,Australian jockey Stathi Katsidis found dead at age 31,-1
15255,"Former FBI Second-In-Command says he was ""Deep Throat""",-1
14329,Sci-fi and fantasy author Andre Norton dies,-1
15740,Bush v. Gore Foes Join to Fight Gay Marriage Ban,-1
14970,Six people killed in Memphis home,-1
10774,South African police clash with demonstrators,-1
14790,US and Mexico to revise counter-drug strategy,-1
13610,Ties With Iran Bring Syria Out of Isolation,-1
6801,Florida High School Senior to Try for Fifth Consecutive No-Hitter,-1
14890,US Supreme Court overturns ban on videos depicting animal cruelty,-1
7653,Insurgents Are Said to Capture Somali Town,-1
4811,Japan opposes resumption of six-party talks on North Korea's nuclear program,-1
14011,Merged Inquiries Could Mean One Big Problem for U.S.C.,-1
5001,A More Assertive Donovan Drives U.S. Soccer Ambitions,-1
1360,Australian PM subject to scrutiny over Carer and Senior's payments,-1
13306,"Fischer suffers seizure, collapses during Red Wings game",-1
3614,"Alice Cooper sets up Christian at-risk youth center in Phoenix, US",-1
88,Activists protest against School of the Americas,-1
4593,Record number of failed banks reported in US for February,-1
7652,Lady Bird Johnson released from Austin hospital,-1
13811,BusinessWeek Is Said to Be on the Block,-1
4216,Seattle's oldest newspaper to become online-only,-1
13521,"After Protests, Moldovan Opposition Claims Election Fraud",-1
4679,Socialists win second term as Spain's ruling party,-1
6177,Critic of Chechen President Is Killed in Exile in Vienna,-1
13966,"12 injured after van carrying church group flips over on Buffalo, NY expressway",-1
9750,London bus bomb 'an hour late',-1
10450,Sri Lanka Army captures Tamil Tiger's capital of Kilinochchi,-1
3125,Welsh TV pioneer Owen Edwards dies at age 76,-1
6543,Blog alliance forms over leaked Downing Street memo,-1
6012,Danish and Austrian embassies in Tehran attacked,-1
8130,Mozambique holds presidential and parliamentary elections,-1
7059,Assassin of Turkish-Armenian journalist 'treated as national hero',-1
8592,Economic opportunities for women still lagging: World Bank and OECD,-1
5632,2004 Commonwealth Judo Championships,-1
11741,U.S. Stocks Up on Hope of a Stabilizing Economy,-1
13432,Path to the Supreme Court: Speak Capably but Say Little,-1
12305,Salmonella outbreak sickens over one thousand in United States,-1
14419,All metal cladding taken off Cabot Circus Tower due to fault,-1
6363,Kerik withdraws from nomination,-1
14813,"Vick, Out of Prison, to Work With Humane Society",-1
2593,Obama 'angry' with Afghanistan general Stanley McChrystal,-1
13502,Nazi Guard Deported to Austria,-1
6629,Hualien warm-up of 2007 ING Taipei Marathon kicked off,-1
1891,Afghan Lawmakers Accuse a Governor of Graft,-1
478,South Africa Bars Dalai Lama From a Peace Conference,-1
2536,Bush nominates Alito to U.S. Supreme Court,-1
11486,Defamation Suit Filed by Donald Trump Is Dismissed,-1
13385,Rwandan genocide suspect arrested in Uganda,-1
5949,Same-sex marriage legalized in Argentina,-1
10044,President Bush: U.S. respects Pakistan's sovereignty,-1
12642,Bangladesh elects new Prime Minister,-1
3596,Controversial cancer test gains support,-1
2964,Woman Files Complaint Against Bernie Williams,-1
7741,Two strong earthquakes rock Vanuatu,-1
6820,Mets and Yankees Season-Ticket Holders Are Having Second Thoughts,-1
9318,"Upbeat Businesses on Cape Cod, Despite Recession",-1
6360,Mobile ringtone tops the UK singles chart,-1
